COD_RH; COD_RECONOCIMIENTO; NOMBRE_RECONOCIMIENTO; MES_RECONOCIMIENTO; AÑO_RECONOCIMIENTO; INSTITUCION_RECONOCIMIENTO
0000228958;1;Premio a la excelencia academica;Diciembre;2007;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000228958;2;Premio Innovación tecnológica;Diciembre;2006;DE EVALUEMOS PERIODISMO TECNOLOGICO;
0000228958;3;Distinción Excelencia Académica;Septiembre;2006;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000228958;4;Investigación meritoria;Diciembre;2005;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000228958;5;Primer Premio ICEL a la Ingeniería Colombiana;;1989;ICEL;
0000228958;6;Aceptación de la US Patent Number 5;;1999;892363UNITED STATES PATENT OFFICE;
0000228958;7;Aceptación de la US Patent Number 5;;1999;923130UNITED STATES PATENT OFFICE;
0000228958;8;Aceptación de la US Patent Number 5;;1999;939841UNITED STATES PATENT OFFICE;
0000228958;9;Beca para realizar pasantía en la Universidad de Guanajuato;;1999;FIMEE Salamanca MéxicoMINISTERIO DE EDUCACION DE MEXICO;
0000228958;10;Primer Premio Brigard  Castro Mejor Inventor del Año en Colombia con el trabajo Inductancias Supresoras de Rayos;;1991;BRIGARD CASTRO FIRMA DE ABOGADOS;
0000228958;11;Beca para estudios de Doctorado en la Universidad de Uppsala;;1993;bajo la dirección del Profesor Viktor ScukaINSTITUTO SUECO SWEDISH INSTITUTE;
0000228958;12;Beca para continuar estudios de Doctorado en la Universidad de Uppsala Suecia;;1993;Profesor Viktor ScukaHIGH VOLTAGE RESEARCH INSTITUTE UPPSALA UNIVERSITY;
0000228958;13;Seleccionado para representar a Colombia en el Premio CAF Corporación Andina de Fomento a la investigación científica;;2002;COLCIENCIAS FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL;
0000228958;14;Reconocimiento por 24 años de valiosa contribución a la formación de ingenieros;;2002;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000228958;15;Beca para estudios de especialización de la Universidad de Karlsruhe 1982;;1982;HOCHSPANNUNGSINSTITUT FRIDERICIANA UNIVERSITAET KARLSRUHE;
0000228958;16;Miembro del Comité Científico VI SIPDA International Symposium on Lightning Protection;;2001;PROF ALEXANDRE PIANTINI UNIVERSIDAD DE SAO PAULO BRASIL;
0000228958;17;Miembro del comité científico V SIPDA International Symposium on Lightning Protection en Sao Paulo;;1999;BrasilPROF ALEXANDRE PIANTINI UNIVERSIDAD DE SAO PAULO BRAZIL;
0000228958;18;Seleccionado para el Premio Excelencia 1991;;1991;ASOCIACION DE INGENIEROS ELECTRICISTAS DE LA UNIVERSIDAD NACIONAL AIEUN;
0000228958;19;Segundo Lugar en el XII Congreso Nacional de ACIEM Asociación Colombiana de Ingenieros Electricistas;;1991;Electrónicos y Mecánicos con el trabajo Un Problema Colombiano Las Fallas de los Transformadores de Distribución Un Análisis basado en la Teoría deACIEM ASOCIACION COLOMBIANA DE INGENIEROS ELECTRICISTAS ELECTRONICOS Y MECANICOS;
0000228958;20;Publicación de la PatenteFuente de corriente de alta Impedancia que usa una fuentes de descargas tipo corona;;2003;SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO GACETA DE LA PROPIEDAD IMDUSTRIAL 530 DE 32 JULIO;
0000228958;21;Beca para realizar trabajo de investigación en la Universidad de Uppsala;;2002;Prof Vernon CoorayDIVISION OF ELECTRICITY AND LIGHTNING RESEARCH DEP MATERIAL SCIENCE UPPSALA UNIVERSITY SUECIA;
0000228958;22;Beca del DAAD para realizar estudios en la Universidad Fridericiana de Karlsruhe;;1980;AlemaniaDAAD DEUTSCHE AKADEMISCHE AUSTAUSCH DIENST SERVICIO DE INTERCAMBIO ACADEMICO DE ALEMANIA FEDERAL;
0000228958;23;Beca estudios de Doctorado en Ingeniería Eléctrica;;1993;Universidad de Uppsala SueciaDEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000228958;24;Mencion de Honor Ciencias Exactas Fisicas y Naturales;;2003;FUNDACION ALEJANDRO ANGEL ESCOBAR;
0000228958;25;Energía Eléctica a partir de las Nubes de Tormenta Avances en el Proceso de Captación y Almacenamiento;;2005;FUNDACION ALEJANDRO ANGEL ESCOBAR;
0000228958;26;Mención Meritoria a la tesis de grado de Ingeniero electricista Diseño Económico de Líneas de Transmisión Director Ing José Fernando Isaza;;1975;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000228958;27;Matrícula de Honor;;1972;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000228958;28;Profesor Titular;;2004;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000228958;29;Docencia Excepcional;;2002;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
